calendar_date,species_id,indicator_id,indicator_desc,indicator_units,head_count,indicator_value
2024-10-15,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14953.0,820.9031274995
2024-10-16,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,15338.0,819.7268416417
2024-10-17,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12586.0,811.036067448
2024-10-18,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11468.0,811.6670339205
2024-10-19,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11468.0,811.6670339205
2024-10-20,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11468.0,811.6670339205
2024-10-21,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12250.0,826.7077117551
2024-10-22,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14178.0,836.1843756524
2024-10-23,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14282.0,837.7799415768
2024-10-24,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,16786.0,859.084617181
2024-10-25,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,16745.0,858.3522576889
2024-10-26,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,16745.0,858.3522576889
2024-10-27,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,16745.0,858.3522576889
2024-10-28,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,15442.0,853.9474252169
2024-10-29,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,15772.0,855.5123750317
2024-10-30,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,16210.0,857.1284829118
2024-10-31,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14793.0,844.2158244981
2024-11-01,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14573.0,844.6719527139
2024-11-02,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14573.0,844.6719527139
2024-11-03,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14573.0,844.6719527139
2024-11-04,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,14372.0,843.1486817492
2024-11-05,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,13893.0,831.4745364644
2024-11-06,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,13362.0,829.3524960335
2024-11-07,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12250.0,817.4174493714
2024-11-08,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12078.0,816.8871012419
2024-11-09,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12078.0,816.8871012419
2024-11-10,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12078.0,816.8871012419
2024-11-11,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11680.0,826.0430918065
2024-11-12,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11224.0,840.0234672488
2024-11-13,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11957.0,836.6107045078
2024-11-14,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12196.0,841.7596481715
2024-11-15,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12426.0,841.5853968856
2024-11-16,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12426.0,841.5853968856
2024-11-17,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12426.0,841.5853968856
2024-11-18,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11182.0,843.5135721427
2024-11-19,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10814.0,850.2857528667
2024-11-20,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11819.0,852.8032813774
2024-11-21,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10708.0,858.1446565092
2024-11-22,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10220.0,860.5935345499
2024-11-23,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10220.0,860.5935345499
2024-11-24,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10220.0,860.5935345499
2024-11-25,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10089.0,863.128217078
2024-11-26,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,8701.0,869.2694924147
2024-11-27,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,7429.0,879.7300402208
2024-11-28,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,7757.0,873.1817330927
2024-11-29,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,7757.0,873.1817330927
2024-11-30,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,7757.0,873.1817330927
2024-12-01,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,7757.0,873.1817330927
2024-12-02,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,8426.0,882.3178435201
2024-12-03,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,9599.0,891.3130186582
2024-12-04,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10152.0,896.0721909377
2024-12-05,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,9392.0,909.1506422168
2024-12-06,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,9876.0,908.4339269239
2024-12-07,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,9876.0,908.4339269239
2024-12-08,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,9876.0,908.4339269239
2024-12-09,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11055.0,911.7113489009
2024-12-10,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12377.0,909.7061834128
2024-12-11,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12983.0,913.7542776477
2024-12-12,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,13510.0,919.5611887269
2024-12-13,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,13186.0,920.8155221371
2024-12-14,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,13186.0,920.8155221371
2024-12-15,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,13186.0,920.8155221371
2024-12-16,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11996.0,921.4686537096
2024-12-17,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,11261.0,931.8258425184
2024-12-18,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,10223.0,943.2294858652
2024-12-19,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12365.0,954.390128702
2024-12-20,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12205.0,954.4843503154
2024-12-21,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12205.0,954.4843503154
2024-12-22,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,12205.0,954.4843503154
2024-12-23,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,9883.0,963.5403107457
2024-12-24,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,6064.0,976.1770215534
2024-12-25,Sheep,8,National Heavy Lamb Indicator,c/kg cwt,4012.0,994.6260418495
2024-10-01,Sheep,9,National Merino Lamb Indicator,c/kg cwt,19073.0,617.2131160803
2024-10-02,Sheep,9,National Merino Lamb Indicator,c/kg cwt,19406.0,620.7532656653
2024-10-03,Sheep,9,National Merino Lamb Indicator,c/kg cwt,22395.0,627.1524614021
2024-10-04,Sheep,9,National Merino Lamb Indicator,c/kg cwt,22717.0,627.7341152705
2024-10-05,Sheep,9,National Merino Lamb Indicator,c/kg cwt,22717.0,627.7341152705
2024-10-06,Sheep,9,National Merino Lamb Indicator,c/kg cwt,22717.0,627.7341152705
2024-10-07,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15976.0,618.3794714634
2024-10-08,Sheep,9,National Merino Lamb Indicator,c/kg cwt,17993.0,591.2311604902
2024-10-09,Sheep,9,National Merino Lamb Indicator,c/kg cwt,18703.0,577.4154759236
2024-10-10,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15733.0,574.8928386131
2024-10-11,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15541.0,574.4310223538
2024-10-12,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15541.0,574.4310223538
2024-10-13,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15541.0,574.4310223538
2024-10-14,Sheep,9,National Merino Lamb Indicator,c/kg cwt,19020.0,576.8984208675
2024-10-15,Sheep,9,National Merino Lamb Indicator,c/kg cwt,16948.0,562.8036879042
2024-10-16,Sheep,9,National Merino Lamb Indicator,c/kg cwt,17582.0,566.5524481686
2024-10-17,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15609.0,543.9281261388
2024-10-18,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15766.0,545.5726195865
2024-10-19,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15766.0,545.5726195865
2024-10-20,Sheep,9,National Merino Lamb Indicator,c/kg cwt,15766.0,545.5726195865
2024-10-21,Sheep,9,National Merino Lamb Indicator,c/kg cwt,14990.0,552.5254232688
2024-10-22,Sheep,9,National Merino Lamb Indicator,c/kg cwt,14672.0,586.2342772628
2024-10-23,Sheep,9,National Merino Lamb Indicator,c/kg cwt,14735.0,596.0444412691
2024-10-24,Sheep,9,National Merino Lamb Indicator,c/kg cwt,16552.0,607.7893477102
2024-10-25,Sheep,9,National Merino Lamb Indicator,c/kg cwt,16181.0,606.5233484457
2024-10-26,Sheep,9,National Merino Lamb Indicator,c/kg cwt,16181.0,606.5233484457
2024-10-27,Sheep,9,National Merino Lamb Indicator,c/kg cwt,16181.0,606.5233484457
2024-10-28,Sheep,9,National Merino Lamb Indicator,c/kg cwt,16666.0,602.2708875735
2024-10-29,Sheep,9,National Merino Lamb Indicator,c/kg cwt,14749.0,599.7611574615
2024-10-30,Sheep,9,National Merino Lamb Indicator,c/kg cwt,14748.0,607.0665771766
2024-10-31,Sheep,9,National Merino Lamb Indicator,c/kg cwt,12479.0,606.1728948874
2024-11-01,Sheep,9,National Merino Lamb Indicator,c/kg cwt,12510.0,605.4892396563
2024-11-02,Sheep,9,National Merino Lamb Indicator,c/kg cwt,12510.0,605.4892396563
2024-11-03,Sheep,9,National Merino Lamb Indicator,c/kg cwt,12510.0,605.4892396563
2024-11-04,Sheep,9,National Merino Lamb Indicator,c/kg cwt,14072.0,610.8721603752
2024-11-05,Sheep,9,National Merino Lamb Indicator,c/kg cwt,13570.0,597.1112420044
2024-11-06,Sheep,9,National Merino Lamb Indicator,c/kg cwt,13383.0,583.9972040873
2024-11-07,Sheep,9,National Merino Lamb Indicator,c/kg cwt,14043.0,568.3058381827
2024-11-08,Sheep,9,National Merino Lamb Indicator,c/kg cwt,13862.0,567.2719327009
2024-11-09,Sheep,9,National Merino Lamb Indicator,c/kg cwt,13862.0,567.2719327009
2024-11-10,Sheep,9,National Merino Lamb Indicator,c/kg cwt,13862.0,567.2719327009
2024-11-11,Sheep,9,National Merino Lamb Indicator,c/kg cwt,10697.0,553.5997092175
2024-11-12,Sheep,9,National Merino Lamb Indicator,c/kg cwt,9459.0,553.4588453219
2024-11-13,Sheep,9,National Merino Lamb Indicator,c/kg cwt,9031.0,540.6977281696
2024-11-14,Sheep,9,National Merino Lamb Indicator,c/kg cwt,9383.0,570.0106719066
2024-11-15,Sheep,9,National Merino Lamb Indicator,c/kg cwt,9692.0,570.4061007222
2024-11-16,Sheep,9,National Merino Lamb Indicator,c/kg cwt,9692.0,570.4061007222
2024-11-17,Sheep,9,National Merino Lamb Indicator,c/kg cwt,9692.0,570.4061007222
2024-11-18,Sheep,9,National Merino Lamb Indicator,c/kg cwt,10236.0,570.0818404357
2024-11-19,Sheep,9,National Merino Lamb Indicator,c/kg cwt,11665.0,554.8765647835
2024-11-20,Sheep,9,National Merino Lamb Indicator,c/kg cwt,11149.0,585.7003499238
2024-11-21,Sheep,9,National Merino Lamb Indicator,c/kg cwt,11004.0,564.0925365413
2024-11-22,Sheep,9,National Merino Lamb Indicator,c/kg cwt,10873.0,562.7623132714
2024-11-23,Sheep,9,National Merino Lamb Indicator,c/kg cwt,10873.0,562.7623132714
2024-11-24,Sheep,9,National Merino Lamb Indicator,c/kg cwt,10873.0,562.7623132714
2024-11-25,Sheep,9,National Merino Lamb Indicator,c/kg cwt,11313.0,567.3628731813
2024-11-26,Sheep,9,National Merino Lamb Indicator,c/kg cwt,9408.0,598.2034627657
2024-11-27,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8939.0,608.2123326994
2024-11-28,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8114.0,632.1032525265
2024-11-29,Sheep,9,National Merino Lamb Indicator,c/kg cwt,7936.0,634.7378575101
2024-11-30,Sheep,9,National Merino Lamb Indicator,c/kg cwt,7936.0,634.7378575101
2024-12-01,Sheep,9,National Merino Lamb Indicator,c/kg cwt,7936.0,634.7378575101
2024-12-02,Sheep,9,National Merino Lamb Indicator,c/kg cwt,7596.0,628.3453351896
2024-12-03,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8275.0,644.2601664894
2024-12-04,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8569.0,636.9366752947
2024-12-05,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8068.0,640.1780927739
2024-12-06,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8573.0,637.8338487694
2024-12-07,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8573.0,637.8338487694
2024-12-08,Sheep,9,National Merino Lamb Indicator,c/kg cwt,8573.0,637.8338487694
2024-12-09,Sheep,9,National Merino Lamb Indicator,c/kg cwt,7235.0,651.4352450173
2024-12-10,Sheep,9,National Merino Lamb Indicator,c/kg cwt,6396.0,661.0566760944
2024-12-11,Sheep,9,National Merino Lamb Indicator,c/kg cwt,5651.0,662.0609517254
2024-12-12,Sheep,9,National Merino Lamb Indicator,c/kg cwt,6433.0,666.33682896
2024-12-13,Sheep,9,National Merino Lamb Indicator,c/kg cwt,6323.0,666.9792822078
2024-12-14,Sheep,9,National Merino Lamb Indicator,c/kg cwt,6323.0,666.9792822078
2024-12-15,Sheep,9,National Merino Lamb Indicator,c/kg cwt,6323.0,666.9792822078
2024-12-16,Sheep,9,National Merino Lamb Indicator,c/kg cwt,6492.0,674.923621719
2024-12-17,Sheep,9,National Merino Lamb Indicator,c/kg cwt,7664.0,683.3891124478
2024-12-18,Sheep,9,National Merino Lamb Indicator,c/kg cwt,7441.0,699.053595041
2024-12-19,Sheep,9,National Merino Lamb Indicator,c/kg cwt,5821.0,693.2072763958
2024-12-20,Sheep,9,National Merino Lamb Indicator,c/kg cwt,5426.0,700.5531961297
