result_date,country_desc,meat_type_group_desc,weight_amt
2025-11-01,Saudi Arabia,Beef And Veal,1396617.9993
2025-11-01,Malaysia,Beef And Veal,865273.0020
2025-11-01,South Korea,Beef And Veal,17399462.5991
2025-11-01,Canada West Coast,Beef And Veal,831862.9014
2025-11-01,Philippines,Beef And Veal,1528982.6059
2025-11-01,China,Beef And Veal,19554309.2141
2025-11-01,Usa West Coast,Beef And Veal,8669471.2828
2025-11-01,Usa East Coast,Beef And Veal,33002982.6137
2025-11-01,Japan,Beef And Veal,24877371.6582
2025-12-01,Japan,Beef And Veal,22632403.7452
2025-12-01,Saudi Arabia,Beef And Veal,1111809.3980
2025-12-01,South Korea,Beef And Veal,21137794.2968
2025-12-01,China,Beef And Veal,29878132.1010
2025-12-01,Taiwan,Beef And Veal,2650247.7961
2025-12-01,Usa East Coast,Beef And Veal,35920145.3894
2025-12-01,Philippines,Beef And Veal,1889985.2053
2025-12-01,Malaysia,Beef And Veal,1040273.3007
2025-12-01,Usa West Coast,Beef And Veal,5304852.3894
2025-12-01,Canada West Coast,Beef And Veal,350851.8006
2025-12-01,Canada East Coast,Beef And Veal,5293426.8636
