report_date,report_type,category,location_id,unit_of_measure,value_amt
2025-09-01,Production,Sheep,Australia,Tonnes,52341.0000
2025-09-01,Production,Cattle (Excl. Calves),Northern Territory,Tonnes,0.0000
2025-09-01,Production,Total Red Meat,South Australia,Tonnes,71552.0000
2025-09-01,Slaughter,Lambs,New South Wales,000,1330.7000
2025-09-01,Slaughter,Sheep,Tasmania,000,25.3000
2025-09-01,Production,Pigs,Australia,Tonnes,123030.0000
2025-09-01,Slaughter,Calves,Tasmania,000,34.9000
2025-09-01,Slaughter,Sheep,Northern Territory,000,0.0000
2025-09-01,Slaughter,Sheep,South Australia,000,126.2000
2025-09-01,Production,Sheep,Western Australia,Tonnes,7832.0000
2025-09-01,Production,Chickens,Australia,Tonnes,391524.0000
2025-09-01,Production,Lambs,Australian Capital Territory,Tonnes,0.0000
2025-09-01,Production,Lambs,Northern Territory,Tonnes,0.0000
2025-12-01,Slaughter,Cattle (Excl. Calves),Western Australia,000,122.4000
2025-12-01,Production,Chickens,Victoria,Tonnes,75330.0000
2025-12-01,Slaughter,Cattle (Excl. Calves),Queensland,000,939.3000
2025-12-01,Slaughter,Cattle (Excl. Calves),Tasmania,000,58.1000
2025-12-01,Production,Lambs,New South Wales,Tonnes,28930.0000
2025-12-01,Slaughter,Sheep,Australian Capital Territory,000,0.0000
2025-12-01,Slaughter,Cows And Heifers,Australia,000,1198.3000
2025-12-01,Production,Pigs,New South Wales,Tonnes,15948.0000
2025-12-01,Production,Sheep,South Australia,Tonnes,3392.0000
2025-12-01,Production,Sheep,Victoria,Tonnes,26553.0000
2025-12-01,Slaughter,Pigs,Western Australia,000,224.8000
2025-12-01,Slaughter,Cattle (Excl. Calves),Australia,000,2292.5000
2025-12-01,Production,Pigs,Tasmania,Tonnes,584.0000
2025-12-01,Production,Cattle (Excl. Calves),South Australia,Tonnes,28162.0000
2025-12-01,Slaughter,Chickens,New South Wales,000,67837.4000
2025-12-01,Slaughter,Lambs,Queensland,000,18.4000
2025-12-01,Slaughter,Lambs,South Australia,000,513.1000
2025-12-01,Production,Sheep,Australia,Tonnes,71599.0000
2025-12-01,Production,Lambs,Northern Territory,Tonnes,0.0000
2025-12-01,Slaughter,Pigs,Northern Territory,000,0.0000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",Victoria,000,178.4000
2025-12-01,Production,Cattle (Excl. Calves),Tasmania,Tonnes,17149.0000
2025-12-01,Production,Total Red Meat,Queensland,Tonnes,336909.0000
2025-12-01,Slaughter,Calves,Queensland,000,0.1000
2025-12-01,Production,Cattle (Excl. Calves),Victoria,Tonnes,160908.0000
2025-12-01,Slaughter,Calves,Australian Capital Territory,000,0.0000
2025-12-01,Production,Calves,New South Wales,Tonnes,2410.0000
2025-12-01,Production,Total Red Meat,Tasmania,Tonnes,21215.0000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",Australian Capital Territory,000,0.0000
2025-12-01,Production,Pigs,Western Australia,Tonnes,17588.0000
2025-12-01,Production,Cattle (Excl. Calves),Australian Capital Territory,Tonnes,0.0000
2025-06-01,Production,Cattle (Excl. Calves),Northern Territory,Tonnes,0.0000
2025-06-01,Slaughter,Sheep,Tasmania,000,67.0000
2025-06-01,Slaughter,Sheep,Australian Capital Territory,000,0.0000
2025-06-01,Production,Sheep,Australia,Tonnes,60075.0000
2025-06-01,Slaughter,Sheep,Victoria,000,873.5000
2025-06-01,Production,Total Red Meat,Queensland,Tonnes,360741.0000
2025-06-01,Production,Lambs,Queensland,Tonnes,492.0000
2025-06-01,Production,Calves,Western Australia,Tonnes,24.0000
2025-06-01,Production,Lambs,Australian Capital Territory,Tonnes,0.0000
2025-06-01,Slaughter,Pigs,Tasmania,000,7.1000
2025-06-01,Slaughter,Calves,Western Australia,000,0.3000
2025-06-01,Production,Lambs,Tasmania,Tonnes,3079.0000
2025-06-01,Slaughter,Pigs,South Australia,000,314.2000
2025-06-01,Production,Sheep,Northern Territory,Tonnes,0.0000
2025-09-01,Production,Cattle (Excl. Calves),New South Wales,Tonnes,168518.0000
2025-09-01,Production,Lambs,Western Australia,Tonnes,11610.0000
2025-09-01,Slaughter,Cows And Heifers,New South Wales,000,348.6000
2025-09-01,Production,Total Red Meat,Tasmania,Tonnes,18552.0000
2025-09-01,Slaughter,Chickens,South Australia,000,0.0000
2025-09-01,Production,Calves,Tasmania,Tonnes,681.0000
2025-09-01,Slaughter,Cattle (Excl. Calves),Tasmania,000,53.8000
2025-09-01,Slaughter,Calves,Australia,000,184.9000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",Australia,000,1162.6000
2025-09-01,Production,Pigs,Northern Territory,Tonnes,0.0000
2025-09-01,Slaughter,Sheep,New South Wales,000,741.2000
2025-09-01,Production,Calves,Victoria,Tonnes,2427.0000
2025-09-01,Slaughter,Cows And Heifers,Northern Territory,000,0.0000
2025-09-01,Production,Chickens,New South Wales,Tonnes,154617.0000
2025-09-01,Slaughter,Lambs,Northern Territory,000,0.0000
2025-09-01,Slaughter,Sheep,Australia,000,2007.4000
2025-09-01,Production,Calves,South Australia,Tonnes,0.0000
2025-09-01,Production,Calves,Queensland,Tonnes,9.0000
2025-09-01,Production,Total Red Meat,Northern Territory,Tonnes,0.0000
2025-09-01,Slaughter,Sheep,Western Australia,000,288.1000
2025-09-01,Slaughter,Sheep,Victoria,000,825.6000
2025-12-01,Slaughter,Lambs,Tasmania,000,90.6000
2025-12-01,Production,Lambs,Western Australia,Tonnes,16559.0000
2025-12-01,Production,Total Red Meat,Victoria,Tonnes,290436.0000
2025-12-01,Production,Lambs,Australia,Tonnes,136941.0000
2025-12-01,Production,Cattle (Excl. Calves),Queensland,Tonnes,307056.0000
2025-12-01,Production,Cattle (Excl. Calves),Northern Territory,Tonnes,0.0000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",Northern Territory,000,0.0000
2025-12-01,Production,Chickens,Western Australia,Tonnes,0.0000
2025-12-01,Production,Chickens,Australia,Tonnes,390908.0000
2025-12-01,Slaughter,Lambs,Victoria,000,3246.8000
2025-12-01,Production,Lambs,Queensland,Tonnes,426.0000
2025-12-01,Production,Lambs,Tasmania,Tonnes,1999.0000
2025-12-01,Production,Pigs,Victoria,Tonnes,26106.0000
2025-12-01,Slaughter,Cows And Heifers,South Australia,000,32.5000
2025-12-01,Slaughter,Sheep,New South Wales,000,920.4000
2025-12-01,Production,Total Red Meat,New South Wales,Tonnes,238144.0000
2025-12-01,Slaughter,Lambs,Australia,000,5759.9000
